City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,sur,22.5667,59.5289,26.26,55,75,3.07,OM,1667704573
315,lakes entrance,-37.8811,147.981,23.42,63,65,2.5,AU,1667704574
316,kabalo,-6.05,26.9167,20.9,94,100,1.25,CD,1667704574
317,suwalki,54.1118,22.9309,7.06,97,100,2.13,PL,1667704575
318,ca mau,9.1769,105.15,26.65,82,99,4.45,VN,1667704441
319,roma,43.2128,-75.4557,21.88,65,0,9.77,US,1667704576
320,san andres,12.5847,-81.7006,26.01,94,75,1.03,CO,1667704577
321,reconquista,-29.15,-59.65,16.34,47,36,3.65,AR,1667704578
322,basco,20.4487,121.9702,25.7,84,4,4.58,PH,1667704578
323,roebourne,-20.7833,117.1333,30.29,23,93,6.86,AU,1667704579
324,alofi,-19.0595,-169.9187,25.94,69,29,7.72,NU,1667704580
325,ahipara,-35.1667,173.1667,19.11,57,100,0.75,NZ,1667704580
326,bambous virieux,-20.3428,57.7575,24.56,88,40,3.6,MU,1667704581
327,morros,-9.4467,-46.3003,20.94,96,100,1.36,BR,1667704582
328,itubera,-13.7322,-39.1492,21.08,85,100,2.18,BR,1667704582
329,beaverlodge,55.2166,-119.4361,-13.36,96,100,2.63,CA,1667704583
330,saint-augustin,51.226,-58.6502,7.01,61,100,3.67,CA,1667704584
331,kenai,60.5544,-151.2583,-3.25,51,0,8.75,US,1667704585
332,goundam,16.4145,-3.6708,25.83,20,0,3.75,ML,1667704585
333,shipunovo,52.1582,82.2173,2.97,61,100,3.99,RU,1667704586
334,springbok,-29.6643,17.8865,13.82,81,1,1.16,ZA,1667704586
335,mabaruma,8.2,-59.7833,22.33,98,67,0.91,GY,1667704587
336,jambi,-1.6,103.6167,26.63,82,100,1.41,ID,1667704587
337,safranbolu,41.2508,32.6942,9.35,58,37,1.03,TR,1667704588
338,palmer,42.1584,-72.3287,19.19,75,75,4.12,US,1667704355
339,havre-saint-pierre,50.2334,-63.5986,8.2,100,100,4.63,CA,1667704589
